sim,obs
159.24452,51900.0
796.6512,50900.0
2165.666,49200.0
6449.578,47600.0
14304.722,45800.0
19094.986,44800.0
18422.453,46700.0
19267.438,49300.0
22154.764,50700.0
24921.72,49300.0
26744.541,46400.0
24566.914,43400.0
22589.586,41600.0
21070.504,40800.0
20710.488,39600.0
20520.916,38000.0
20289.34,36300.0
19715.316,34600.0
19116.637,33700.0
18320.348,33800.0
18190.545,33300.0
17494.129,31700.0
16759.158,30700.0
16657.79,29900.0
16540.547,29300.0
17570.02,29700.0
19105.406,32000.0
21906.879,33300.0
29435.73,34300.0
34917.434,34200.0
35512.863,33200.0
29594.555,32500.0
25479.69,32400.0
27975.727,31400.0
30010.469,30100.0
30337.56,28500.0
20068.604,27500.0
16299.741,26900.0
15670.096,26800.0
15331.304,26700.0
15368.881,25800.0
15341.032,25200.0
15465.491,24900.0
15987.436,24600.0
17213.623,24200.0
18046.457,23700.0
18405.07,23000.0
17783.354,22000.0
17087.229,21500.0
17203.893,21200.0
18170.984,21000.0
19142.775,21600.0
21625.18,22000.0
25379.797,22100.0
26659.607,22400.0
24032.703,22400.0
23282.602,22000.0
24902.541,21400.0
23996.637,21000.0
20896.555,20900.0
20253.783,20800.0
21758.084,20500.0
25738.924,19400.0
25403.176,19000.0
22502.057,19000.0
20056.424,19000.0
19780.652,19500.0
23670.615,20000.0
24431.941,20000.0
20767.662,19000.0
18459.6,18000.0
17817.182,16000.0
17386.662,13000.0
17135.957,12000.0
16963.236,11500.0
16714.78,11000.0
16441.059,11000.0
16191.805,10500.0
15966.033,10500.0
15744.159,11000.0
15526.044,11000.0
15311.159,11500.0
15098.5205,11500.0
14906.501,11500.0
14984.435,12000.0
15031.927,12000.0
15212.598,12500.0
15309.24,12500.0
15160.127,13000.0
15263.537,13000.0
16509.434,13500.0
16683.844,14000.0
16015.282,14000.0
17525.42,13500.0
18978.434,13500.0
20090.79,13000.0
19634.63,12000.0
16399.24,11500.0
15790.74,11000.0
15353.137,10500.0
13825.833,9600.0
13080.512,9400.0
12910.295,9200.0
12999.189,9000.0
12664.823,9000.0
12345.201,9000.0
12168.283,8800.0
12057.903,8800.0
11913.223,9000.0
11777.018,9000.0
11651.044,8800.0
11526.727,8600.0
11402.827,8600.0
11281.0625,8600.0
11162.752,8400.0
11045.892,8400.0
10928.297,8400.0
10813.949,8400.0
10703.812,8200.0
10596.294,8200.0
10491.19,8200.0
10390.256,8200.0
33.12458,8200.0
511.58878,8200.0
1809.6157,8200.0
4217.7305,8000.0
7600.4546,8000.0
10414.72,8000.0
11889.439,8000.0
13081.313,8000.0
14631.566,7800.0
15993.295,7800.0
16597.049,7800.0
17191.38,7800.0
19353.775,7800.0
20615.355,7800.0
18866.537,7800.0
16816.158,7800.0
15884.404,7800.0
15498.992,7800.0
15490.423,7800.0
15669.162,7800.0
16412.086,7800.0
18026.299,7800.0
17453.43,7800.0
16016.422,7800.0
15890.446,7800.0
17234.25,7800.0
18402.242,7800.0
16412.895,7800.0
15144.797,7800.0
14741.54,7800.0
14556.0625,7800.0
14392.766,7800.0
14232.15,7800.0
14066.852,7800.0
13911.687,7800.0
13962.434,7800.0
15120.555,7800.0
20354.854,7800.0
28313.576,8000.0
29895.531,8000.0
28477.176,8000.0
25393.377,8000.0
28474.518,8200.0
36896.742,8200.0
35524.867,8200.0
27204.953,8200.0
22741.186,8000.0
23252.3,8000.0
23597.723,7900.0
21538.955,7900.0
19851.816,7900.0
18149.389,7900.0
17316.016,7900.0
16880.646,7900.0
16619.354,7900.0
16443.594,7900.0
16321.82,7900.0
16163.881,7900.0
16231.693,7900.0
16296.47,7900.0
16345.311,7900.0
16403.854,7900.0
17756.39,7900.0
21395.326,7900.0
24526.133,7900.0
27630.184,7900.0
25874.684,7900.0
22954.639,7900.0
23496.033,7900.0
24030.021,7900.0
22765.19,7900.0
19089.83,7800.0
16036.99,7800.0
15114.557,7800.0
14861.574,7800.0
14758.124,7800.0
15070.107,7800.0
16386.367,7800.0
18264.328,7800.0
18790.256,7800.0
18952.707,7800.0
18941.064,7800.0
20855.236,7700.0
22570.084,7700.0
22305.19,7700.0
21703.861,7700.0
20119.383,7700.0
18490.895,7700.0
17938.05,7700.0
18172.045,7700.0
19561.234,7700.0
21395.203,7700.0
21619.998,7700.0
20168.47,7700.0
18569.8,7700.0
17833.92,7700.0
18849.787,7700.0
19913.344,7700.0
19988.324,7700.0
19776.857,7700.0
19063.117,7700.0
19841.564,7700.0
23488.227,7700.0
26397.336,7800.0
27921.006,7800.0
29995.672,8000.0
33978.65,8000.0
36261.004,8200.0
33588.23,8400.0
32194.5,8800.0
31986.84,9200.0
32033.205,9600.0
29689.344,10000.0
24502.312,11000.0
23562.102,13000.0
23058.49,15000.0
24883.062,18000.0
29899.186,22000.0
35534.25,27000.0
39489.633,35000.0
41427.66,40000.0
42967.99,41000.0
42746.97,31400.0
38572.266,31100.0
34086.547,31600.0
31813.65,31200.0
29429.795,26900.0
26575.018,25200.0
24067.328,23700.0
21210.262,23200.0
18619.121,23500.0
17765.08,24000.0
20913.559,24300.0
23777.852,24400.0
21351.494,24900.0
19713.992,24200.0
19393.13,22900.0
19730.723,21600.0
20128.371,20500.0
18305.025,20100.0
16583.48,20000.0
17170.86,19900.0
19164.701,20300.0
21551.648,20200.0
23178.783,20000.0
23921.84,20000.0
20971.002,20500.0
18838.088,21100.0
18612.457,21800.0
22989.291,22600.0
27284.463,23600.0
29559.646,25000.0
33654.41,26900.0
37388.473,26900.0
36408.855,25600.0
30381.057,24300.0
25250.002,25900.0
25642.969,28000.0
29209.488,31000.0
32371.65,34400.0
38890.027,32800.0
38712.164,32900.0
34625.625,35700.0
32540.379,38300.0
36041.97,38800.0
39233.41,37900.0
34754.79,36500.0
30338.723,36100.0
30034.115,36600.0
33113.555,37600.0
37058.78,38700.0
39988.496,38900.0
43559.977,38400.0
44273.55,38100.0
40321.07,38900.0
44807.19,40400.0
50771.266,40900.0
70106.79,39300.0
75271.85,38600.0
53693.652,37700.0
44470.53,38700.0
38836.81,40100.0
37174.625,41700.0
40081.54,44800.0
39154.297,48600.0
40147.47,49100.0
47198.6,48500.0
51939.08,49100.0
42816.918,49800.0
39305.047,51500.0
41579.965,52900.0
53970.504,54200.0
60077.305,54500.0
50116.96,55700.0
45884.77,57700.0
49719.996,60700.0
51169.094,65200.0
52874.926,78200.0
61136.79,88400.0
69397.69,92500.0
72055.11,88100.0
86886.125,79100.0
79943.77,75900.0
69386.37,74400.0
67000.41,72300.0
63144.113,69500.0
59057.848,68600.0
