id,siteID,year,first_ice,freezeup,unsafe_boat,safe_man,safe_veh,type_veh,remarks,,
1,114,1954,12/1/1954,\N,\N,12/10/1954,12/21/1954,,,,
2,114,1955,10/15/1955,\N,\N,11/10/1955,11/30/1955,,,,
3,114,1957,11/23/1957,\N,\N,1/15/1957,\N,,,,
4,114,1958,9/30/1958,\N,\N,10/25/1958,\N,,,,
5,114,1959,10/1/1959,\N,\N,12/1/1959,\N,,,,
6,114,1960,10/17/1960,\N,\N,11/21/1960,\N,,,,
7,114,1961,10/15/1961,\N,\N,\N,\N,,,,
8,114,1962,10/25/1962,\N,\N,\N,\N,,,,
10,114,1964,11/15/1964,\N,\N,12/15/1964,\N,,,,
11,114,1966,11/10/1966,\N,\N,12/12/1966,\N,,,,
12,114,1967,10/28/1967,\N,\N,12/10/1967,\N,,,,
13,114,1981,\N,\N,\N,11/8/1981,\N,,,,
14,114,1982,10/20/1982,\N,\N,\N,\N,,,,
15,233,1960,10/10/1960,\N,\N,\N,\N,,,,
16,233,1961,10/11/1961,\N,10/11/1961,10/30/1961,11/20/1961,snowmachine,,,
17,233,1962,10/29/1962,\N,\N,11/10/1962,11/17/1962,dog team,,,
18,233,1963,10/11/1963,\N,10/15/1963,10/28/1963,11/10/1963,truck,,,
19,233,1964,10/30/1964,\N,10/31/1964,11/8/1964,11/12/1964,truck,,,
20,233,1965,11/2/1965,\N,10/20/1965,11/10/1965,\N,,,,
21,233,1968,10/18/1968,\N,\N,10/28/1968,11/3/1968,,,,
22,233,1969,10/17/1969,\N,\N,11/7/1969,11/7/1969,,,,
23,233,1973,10/22/1973,\N,10/22/1973,10/25/1973,11/20/1973,,,,
24,233,1974,10/11/1974,\N,10/11/1974,11/6/1974,11/10/1974,,,,
25,233,1975,10/27/1975,\N,10/28/1975,11/8/1975,11/22/1975,snowmachine,,,
26,233,1977,10/15/1977,\N,10/14/1977,10/17/1977,10/29/1977,snowmachine,,,
27,233,1979,11/25/1979,\N,10/23/1979,11/26/1979,11/27/1979,snowmachine,,,
28,233,1982,10/22/1982,\N,10/22/1982,11/6/1982,11/6/1982,snowmachine,,,
29,399,1960,10/7/1960,\N,10/7/1960,10/31/1960,12/10/1960,jeep,,,
30,399,1961,10/10/1961,\N,10/5/1961,10/12/1961,10/30/1961,jeep,,,
31,399,1962,10/12/1962,\N,10/12/1962,10/24/1962,11/9/1962,jeep,,,
32,399,1963,10/12/1963,\N,10/16/1963,10/15/1963,10/26/1963,,,,
33,399,1965,10/10/1965,\N,10/10/1965,10/20/1965,10/25/1965,jeep,,,
34,399,1966,10/18/1966,\N,10/18/1966,10/24/1966,10/28/1966,,,,
35,399,1967,10/18/1967,\N,10/19/1967,10/23/1967,11/18/1967,jeep,,,
36,399,1968,9/28/1968,\N,\N,10/5/1968,10/12/1968,,,,
37,399,1969,10/15/1969,\N,10/16/1969,10/27/1969,10/29/1969,,,,
38,399,1970,10/9/1970,\N,10/11/1970,10/1/1970,10/10/1970,,,,
39,399,1971,10/5/1971,\N,10/10/1971,10/10/1971,10/15/1971,,,,
40,399,1972,9/28/1972,\N,\N,11/1/1972,11/1/1972,,,,
41,399,1973,10/8/1973,\N,10/10/1973,10/9/1973,10/12/1973,,,,
42,399,1974,9/30/1974,\N,9/30/1974,10/4/1974,10/4/1974,snowmachine,,,
43,399,1975,10/4/1975,\N,9/29/1975,10/24/1975,10/24/1975,snowmachine,,,
