id,region,river,atnr,location,lid
1,Arctic,Arctic Ocean,at,Barrow,\N
2,Arctic,Arctic Ocean,at,Kivalina,\N
3,Arctic,Arctic Ocean,at,Point Hope,\N
4,Arctic,Arctic Ocean,at,Point Lay,\N
5,Arctic,Arctic Ocean,at,Shishmaref,\N
6,Arctic,Beaufort Sea,at,Barter Island,\N
7,Arctic,Bering Sea,at,Gambell,\N
8,Arctic,Bering Sea,at,Nome,\N
9,Arctic,Bering Sea,at,Northeast Cape,\N
10,Arctic,Bering Sea,at,Savoonga,\N
11,Arctic,Bering Sea,at,Tin City,\N
12,Arctic,Bering Sea,at,Wainwright,\N
13,Arctic,Bering Sea,at,Wales,\N
14,Arctic,Buckland River,at,Buckland,\N
15,Arctic,Camden Bay,at,Camden Bay,\N
16,Arctic,Chukchi Sea,at,Cape Lisbourne,\N
17,Arctic,Colville River,at,Colville Village,\N
18,Arctic,Colville River,at,Umiat,\N
19,Arctic,Contact Creek,at,Anaktuvuk Pass,\N
20,Arctic,Fish River,at,White Mountain,\N
21,Arctic,Freshwater Lake,at,Barter Island,\N
22,Arctic,Golovin Bay,nr,White Mountain,\N
23,Arctic,Goodhope Bay,at,Deering,\N
24,Arctic,Grantley Harbor,at,Teller,\N
25,Arctic,Inmachuk River,at,Deering,\N
26,Arctic,Inmachuk Sound,at,Deering,\N
27,Arctic,Kasegaluk Lagoon,at,Wainright,\N
28,Arctic,Kivalina River,at,Kivalina,\N
29,Arctic,Kiwalik River,at,Candle,\N
30,Arctic,Kiwalik River,nr,Kotzebue Sound,\N
31,Arctic,Kobuk River,at,Ambler,\N
32,Arctic,Kobuk River,at,Kiana,\N
33,Arctic,Kobuk River,at,Kobuk,\N
34,Arctic,Kobuk River,at,Noorvik,\N
35,Arctic,Kobuk River,at,Shungnak,\N
36,Arctic,Kokolik River,at,Point Lay,\N
37,Arctic,Kotzebue Sound,at,Deering,\N
38,Arctic,Kotzebue Sound,at,Kotzebue,\N
39,Arctic,Koyuk River,at,Koyuk,\N
40,Arctic,Kuk River,at,Wainwright,\N
41,Arctic,Kukpouruk River,nr,Point Lay,\N
42,Arctic,Kukpuk River,at,Point Lay,\N
43,Arctic,Kuparuk River,at,Kuparuk,\N
44,Arctic,Kwiniuk River,at,Moses Point,\N
45,Arctic,Lake Noise,at,Teller,\N
46,Arctic,Lake Troutman,nr,Gambell,\N
47,Arctic,Marryat Inlet,nr,Point Hope,\N
48,Arctic,Meade River,at,Atkasuk,\N
49,Arctic,Noatak River,at,Fish Hatchery,\N
50,Arctic,Noatak River,at,Noatak,\N
51,Arctic,Nome River,nr,Nome,\N
52,Arctic,Norton Bay,at,Moses Point,\N
53,Arctic,Norton Sound,at,Elim,\N
54,Arctic,Norton Sound,at,Nome,\N
55,Arctic,Norton Sound,at,Saint Michael,\N
56,Arctic,Norton Sound,nr,Stebbins,\N
57,Arctic,Norton Sound,at,Unalakleet,\N
58,Arctic,Port Clarence,at,Teller,\N
59,Arctic,Quinahak River,nr,Elim,\N
60,Arctic,Sagavanirktok River,at,Deadhorse,\N
61,Arctic,Sagavanirktok River,at,Prudhoe,\N
62,Arctic,Saint Michael Bay,at,Saint Michael,\N
63,Arctic,Savoonga Creek,at,Savoonga,\N
64,Arctic,Savoonga Harbor,at,Savoonga,\N
65,Arctic,Selawik River,at,Selawik,\N
66,Arctic,Serpentine River,at,Shishmaref,\N
67,Arctic,Shaktoolik River,at,Shaktoolik,\N
68,Arctic,Shishmaref Inlet,at,Shishmaref,\N
69,Arctic,Snake River,at,Nome,\N
70,Arctic,Squirrel River,nr,Kiana,\N
71,Arctic,St. Michael Bay,at,St. Michael,\N
72,Arctic,Summit Lake,at,Anaktuvuk Pass,\N
73,Arctic,Troutman Lake,at,Gambell,\N
74,Arctic,Unalakleet River,at,Unalakleet,\N
75,Arctic,Wainwright Inlet,at,Wainwright,\N
76,Arctic,Wales Harbor,at,Wales,\N
77,Arctic,Wales River,at,Wales,\N
78,Arctic,Wulik River,nr,Kivalina,\N
79,Copper,Chistochina River,at,Chistochina,\N
80,Copper,Chistochina River,nr,Mankomen Lake,\N
81,Copper,Chitina River,nr,Chitina,\N
82,Copper,Cobb Lake,nr,Slana,\N
83,Copper,Copper River,nr,Chitina,\N
84,Copper,Copper River,at,Copper Center,\N
85,Copper,Copper River,at,Gakona,\N
86,Copper,Copper River,nr,Gulkana,\N
87,Copper,Eureka Lake,at,Eureka,\N
88,Copper,Eyak Lake,nr,Cordova,\N
89,Copper,Gakona River,at,Gakona,\N
91,Copper,Gakona River,at,Gulkana,\N
93,Copper,Gulkana River,nr,Gakona,\N
94,Copper,Gulkana River,at,Sourdough,\N
95,Copper,Kennicott River,at,McCarthy,\N
96,Copper,Klutina River,at,Copper Center,\N
97,Copper,Klutina River,at,Gulkana,\N
98,Copper,Little Nelchina River,at,Nelchina,\N
100,Copper,Mankomen Lake,at,Mankomen Lake,\N
101,Copper,Paxson Lake,nr,Gulkana,\N
102,Copper,Sheep Creek,at,Thompson Pass,\N
103,Copper,Slana River,nr,Slana,\N
104,Copper,Snowshoe Lake,at,Snowshoe Lake,\N
