"","X","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1",1,"USGS",15008000,"1963-08-01",3400,"A"
"2",1,"USGS",15015595,"2003-04-30",5200,"A"
"3",1,"USGS",15085900,"1995-10-25",50,"A"
"4",1,"USGS",15086000,"1915-07-01",110,"A"
"5",1,"USGS",15086225,"2016-10-26",134,"A"
"6",1,"USGS",15086500,"1960-05-01",56,"A"
"7",1,"USGS",15086600,"1963-10-01",90,"A"
"8",1,"USGS",15086960,"1977-09-01",3.2,"A"
"9",1,"USGS",15087000,"1964-10-01",1,"A"
"10",1,"USGS",15087200,"1964-10-01",20,"A"
"11",1,"USGS",15087300,"2004-04-29",49,"A e"
"12",1,"USGS",15087500,"2003-10-15",1.3,"A e"
"13",1,"USGS",15015600,"1967-07-21",510,"A"
"14",1,"USGS",15087545,"1978-10-01",13,"A"
"15",1,"USGS",15087560,"1970-10-01",19,"A"
"16",1,"USGS",15087565,"2005-09-01",117,"A e"
"17",1,"USGS",15087570,"1976-10-01",480,"A"
"18",1,"USGS",15087590,"1976-10-01",17,"A"
"19",1,"USGS",15087610,"1976-10-01",458,"A"
"20",1,"USGS",15087618,"2003-10-23",63.1,"A"
"21",1,"USGS",15087690,"1980-08-28",52,"A"
"22",1,"USGS",15087700,"1998-09-30",283,"A"
"23",1,"USGS",15087730,"1998-09-30",12,"A"
"24",1,"USGS",15016000,"1922-07-01",347,"A"
"25",1,"USGS",15087735,"1998-09-30",6.5,"A"
"26",1,"USGS",15088000,"1920-09-01",195,"A"
"27",1,"USGS",15088200,"1999-10-01",3.6,"A"
"28",1,"USGS",15090000,"1915-08-22",262,"A"
"29",1,"USGS",15092000,"1951-06-26",480,"A"
"30",1,"USGS",15093200,"1978-08-01",27,"A"
"31",1,"USGS",15093400,"1965-07-01",50,"A"
"32",1,"USGS",15093600,"1965-07-01",20,"A"
"33",1,"USGS",15094000,"1951-10-01",106,"A"
"34",1,"USGS",15098000,"1915-07-01",725,"A"
"35",1,"USGS",15018000,"1915-06-01",325,"A"
"36",1,"USGS",15099900,"2008-11-25",50.5,"A"
"37",1,"USGS",15100000,"1951-07-01",680,"A"
"38",1,"USGS",15100500,"1980-10-01",9.1,"A"
"39",1,"USGS",15100510,"1980-10-01",7.3,"A"
"40",1,"USGS",15101200,"1976-09-01",12,"A"
"41",1,"USGS",15101490,"1989-08-18",14,"A"
"42",1,"USGS",15101500,"1978-10-01",110,"A"
"43",1,"USGS",15102000,"1951-06-26",360,"A"
"44",1,"USGS",15102200,"2000-11-28",14,"A"
"45",1,"USGS",15106100,"1977-10-01",258,"A"
"46",1,"USGS",15019990,"1979-10-01",525,"A"
"47",1,"USGS",15106920,"1968-01-01",30,"A"
"48",1,"USGS",15106940,"1967-08-01",5.6,"A"
"49",1,"USGS",15106960,"1966-12-01",11,"A"
"50",1,"USGS",15106970,"1999-07-01",0.99,"A e"
"51",1,"USGS",15106980,"1968-06-01",80,"A"
"52",1,"USGS",15107000,"1964-09-01",75,"A"
"53",1,"USGS",15107910,"1979-07-18",17,"A"
"54",1,"USGS",15107920,"1975-10-01",140,"A"
"55",1,"USGS",15108000,"1957-06-01",262,"A"
"56",1,"USGS",15108600,"1966-12-22",2.7,"A"
"57",1,"USGS",15020000,"1921-11-01",300,"A"
"58",1,"USGS",15108800,"1966-10-01",27,"A"
"59",1,"USGS",15109000,"1958-10-01",650,"A"
"60",1,"USGS",15109048,"1998-11-01",7.3,"A e"
"61",1,"USGS",15129000,"1991-07-01",105000,"A e"
"62",1,"USGS",15129120,"2011-07-01",109000,"A e"
