sim,obs
174.51115,51900.0
824.04083,50900.0
2271.325,49200.0
6722.717,47600.0
14626.191,45800.0
19133.64,44800.0
18407.05,46700.0
19347.309,49300.0
22283.773,50700.0
25054.81,49300.0
26687.717,46400.0
24498.63,43400.0
22494.11,41600.0
21049.99,40800.0
20692.5,39600.0
20516.639,38000.0
20270.732,36300.0
19694.322,34600.0
19079.69,33700.0
18299.195,33800.0
18190.602,33300.0
17444.395,31700.0
16748.281,30700.0
16656.742,29900.0
16544.258,29300.0
17651.664,29700.0
19151.105,32000.0
22125.418,33300.0
29827.41,34300.0
34962.78,34200.0
35364.83,33200.0
29394.324,32500.0
25439.35,32400.0
28069.037,31400.0
30220.584,30100.0
29956.086,28500.0
19769.547,27500.0
16247.889,26900.0
15652.773,26800.0
15324.656,26700.0
15374.546,25800.0
15334.169,25200.0
15485.854,24900.0
16014.719,24600.0
17272.959,24200.0
18065.62,23700.0
18402.47,23000.0
17742.723,22000.0
17079.357,21500.0
17222.754,21200.0
18226.807,21000.0
19186.285,21600.0
21781.584,22000.0
25521.475,22100.0
26582.627,22400.0
23952.662,22400.0
23299.32,22000.0
24978.688,21400.0
23851.28,21000.0
20820.305,20900.0
20263.611,20800.0
21918.236,20500.0
25821.012,19400.0
25308.256,19000.0
22381.16,19000.0
19985.338,19000.0
19853.713,19500.0
23854.465,20000.0
24308.434,20000.0
20626.527,19000.0
18410.9,18000.0
17799.854,16000.0
17370.303,13000.0
17131.227,12000.0
16952.514,11500.0
16704.307,11000.0
16429.734,11000.0
16182.191,10500.0
15956.708,10500.0
15735.0205,11000.0
15517.028,11000.0
15302.253,11500.0
15089.727,11500.0
14901.841,11500.0
14991.898,12000.0
15032.893,12000.0
15223.204,12500.0
15306.11,12500.0
15148.168,13000.0
15304.172,13000.0
16552.379,13500.0
16651.205,14000.0
16022.38,14000.0
17619.38,13500.0
18996.852,13500.0
20174.264,13000.0
19488.594,12000.0
16315.019,11500.0
15811.104,11000.0
15287.65,10500.0
13778.216,9600.0
13063.779,9400.0
12913.649,9200.0
12994.337,9000.0
12647.695,9000.0
12335.79,9000.0
12162.855,8800.0
12052.795,8800.0
11907.096,9000.0
